4.91762867407372;0.0	9.799267176760901;0.0	7.6829765557886045;0.0	7.073413966650823;0.0	6.729394350880036;0.0	
7.008224511853595;0.0	8.691835664976933;0.0	6.9608289529351195;0.0	7.616925162276501;0.0	8.090121114540752;0.0	
4.693287999487323;0.0	8.729431617070317;0.0	7.89889874672463;0.0	7.728267603007677;0.0	8.089634240022242;0.0	
4.8925795103872;0.0	8.894670391393522;0.0	6.041203123170608;0.0	5.641839031769662;0.0	5.48228336615119;0.0	
6.6682667782095955;0.0	10.573962728735074;0.0	8.957982037881749;0.0	7.840303628777042;0.0	8.177497672662165;0.0	
5.893664203885102;0.0	8.03286311825922;0.0	6.059548441597152;0.0	4.706803457045165;0.0	5.618622922911884;0.0	
6.239289388964041;0.0	7.985857343595092;0.0	7.036087863180135;0.0	6.566637399845526;0.0	7.042175849041203;0.0	
10.506085197531934;0.0	10.785492159950895;0.0	10.726237174614294;0.0	9.79964097214782;0.0	8.686311802393616;0.0	
8.360169218170677;0.0	10.310141398836558;0.0	11.52939145416796;0.0	10.006216049222182;0.0	8.971114122146721;0.0	
8.727244434308705;0.0	11.144403742947356;0.0	10.748946772149642;0.0	10.229460517638172;0.0	10.488157199177614;0.0	
8.96976012349397;0.0	10.741321653526994;0.0	9.46093248938113;0.0	9.24955889519097;0.0	10.053240259724932;0.0	
10.511659856185597;0.0	10.468421583221874;0.0	9.675644835526354;0.0	9.13554014328736;0.0	9.693008755134072;0.0	
8.533707802351316;0.0	11.342661003475788;0.0	9.749890462339525;0.0	9.399808422467121;0.0	9.321146211628951;0.0	
7.490877598583244;0.0	9.478325535459387;0.0	8.82167405912761;0.0	8.555382077305092;0.0	8.330672962382547;0.0	
7.576510833929118;0.0	9.420692599774664;0.0	8.449237364442213;0.0	7.934437319459742;0.0	6.152061702154661;0.0	
9.502656975569165;0.0	10.224223156175162;0.0	9.189148301874756;0.0	9.015221292592798;0.0	8.8203957162021;0.0	
8.801957068242729;0.0	11.184856126229283;0.0	9.605576785247207;0.0	9.566168277037075;0.0	8.378866655303838;0.0	
9.02636159850706;0.0	10.91820073270598;0.0	9.783344187770151;0.0	9.109995444630739;0.0	8.474446474613348;0.0	
8.436150552118136;0.0	10.879315631457581;0.0	9.860362221617276;0.0	8.711673626807414;0.0	8.415851791261014;0.0	
8.128605593050723;0.0	10.864036115196853;0.0	10.006297348497517;0.0	8.753770336732162;0.0	7.92395426695871;0.0	
8.272649705379225;0.0	10.703936550172545;0.0	10.079912561949955;0.0	8.923360784209276;0.0	8.35146725279511;0.0	
8.023182668359896;0.0	10.666691739837777;0.0	9.849741683724805;0.0	8.962235749011821;0.0	8.344909362230839;0.0	
8.875284908388952;0.0	10.52507402949002;0.0	9.650134604438431;0.0	8.849076858156112;0.0	6.8238022961466775;0.0	
9.108228296875152;0.0	10.265034119605616;0.0	9.569084217874122;0.0	9.046384481572453;0.0	8.178591425906143;0.0	
8.421609458899606;0.0	10.428188970232751;0.0	9.86965970407738;0.0	9.18242484486028;0.0	8.326541102222404;0.0	
8.382851656852806;0.0	10.692812780280608;0.0	8.585778089837007;0.0	8.756431081067074;0.0	8.181588379098281;0.0	
8.922690099467594;0.0	10.175113484017736;0.0	9.014245442565567;0.0	9.584337334113307;0.0	8.694488308508395;0.0	
8.718423176589738;0.0	10.050515694300033;0.0	9.105856339088106;0.0	9.683021522323365;0.0	8.55838794976679;0.0	
9.606855434360156;0.0	9.666996515013988;0.0	9.370519450992488;0.0	8.753973234263485;0.0	8.267670850424903;0.0	
9.019141348772687;0.0	11.04855291323809;0.0	9.866037670294785;0.0	9.983400106638177;0.0	9.803406254952726;0.0	
